icd10parent,icd10parentdesc,icd10children1,icd10children1desc,icd10children2,icd10children2desc
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amebiasis
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,"Infectious gastroenteritis and colitis, unspecified"
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,Respiratory tuberculosis
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularemia
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25,Rat-bite fevers
